,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,temporal_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
622,hand_selected_008,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,0,pre,repetition 1,3.1645789618266917,pre to repetition 1,0.8928980535099055,0.5757575757575757,0.8421052631578947,0.8888888888888891,repeated
623,hand_selected_008,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,1,pre,repetition 2,3.7403700908679767,pre to repetition 2,1.079237051634888,0.4545454545454545,0.8421052631578947,0.8727272727272728,repeated
624,hand_selected_008,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,2,pre,post,3.6843912595757726,pre to post,1.9091347789294302,0.7777777777777778,0.8421052631578947,0.6818181818181819,repeated
625,hand_selected_008,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,3,repetition 1,repetition 2,2.1888389599869345,repetition 1 to repetition 2,0.18633899812498247,0.8787878787878787,0.8888888888888891,0.8727272727272728,repeated
626,hand_selected_008,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,4,repetition 1,post,2.04166173779587,repetition 1 to post,0.47067421972219886,0.8888888888888888,0.8888888888888891,0.6818181818181819,repeated
627,hand_selected_008,6679-27a62967-b9d8-4a25-8b63-74e16e2f7f32,5,repetition 2,post,0.9243145008664454,repetition 2 to post,0.915848965235476,0.9444444444444445,0.8727272727272728,0.6818181818181819,repeated
628,hand_selected_008,6790-c17728a7-7127-4573-b291-0128340c8c92,0,pre,repetition 1,3.486308975679884,pre to repetition 1,3.0841168788982922,0.7333333333333333,0.7843137254901961,0.7000000000000001,repeated
629,hand_selected_008,6790-c17728a7-7127-4573-b291-0128340c8c92,1,pre,repetition 2,4.004595273732485,pre to repetition 2,1.7562391654466578,0.4444444444444444,0.7843137254901961,0.9583333333333334,repeated
630,hand_selected_008,6790-c17728a7-7127-4573-b291-0128340c8c92,2,pre,post,3.833965110889013,pre to post,1.5307135789365263,0.4222222222222222,0.7843137254901961,0.88,repeated
631,hand_selected_008,6790-c17728a7-7127-4573-b291-0128340c8c92,3,repetition 1,repetition 2,2.7563914436850467,repetition 1 to repetition 2,2.7563914436850467,0.9999999999999999,0.7000000000000001,0.9583333333333334,repeated
632,hand_selected_008,6790-c17728a7-7127-4573-b291-0128340c8c92,4,repetition 1,post,2.6777021178517835,repetition 1 to post,2.5670610660317696,0.7333333333333333,0.7000000000000001,0.88,repeated
633,hand_selected_008,6790-c17728a7-7127-4573-b291-0128340c8c92,5,repetition 2,post,2.055148579941564,repetition 2 to post,0.8348872050032399,0.8333333333333334,0.9583333333333334,0.88,repeated
634,hand_selected_008,6834-b18d5535-d036-4aa4-bd46-e31404e1a9b0,0,pre,post,2.1362092093677627,pre to post,0.6454972243679028,0.8666666666666666,0.8095238095238095,0.7619047619047621,control
635,hand_selected_008,7003-7e4d5b38-649c-46ce-8249-3d2dd2317136,0,pre,post,1.788854381999832,pre to post,0.0,0.7999999999999999,0.8888888888888891,1.0,control
636,hand_selected_008,7403-51a56b3d-e3c7-4e3d-b740-b9d03ecb6b23,0,pre,post,3.6952556947241226,pre to post,0.9082762530298218,0.6444444444444444,1.0,1.0,control
637,hand_selected_008,8393-20a088d6-1640-4144-9c9b-1a4de630af05,0,pre,post,4.186140661634507,pre to post,2.8090169943749475,0.3333333333333334,0.5853658536585366,0.6,control
638,hand_selected_008,8397-be124375-c065-4d32-b13f-3c684ac930ea,0,pre,post,3.9278005780982044,pre to post,3.099458712293349,0.7857142857142856,0.7906976744186047,0.9375,control
639,hand_selected_008,8443-39606760-f554-4047-bbe2-fba6c5d88180,0,pre,repetition 1,2.510246501801724,pre to repetition 1,0.4943877491981309,0.8333333333333334,1.0,0.8372093023255813,repeated
640,hand_selected_008,8443-39606760-f554-4047-bbe2-fba6c5d88180,1,pre,repetition 2,2.9428318909959708,pre to repetition 2,0.4166666666666667,0.7878787878787877,1.0,1.0,repeated
641,hand_selected_008,8443-39606760-f554-4047-bbe2-fba6c5d88180,2,pre,post,3.652357325729076,pre to post,0.8331285457244523,0.6000000000000001,1.0,1.0,repeated
