,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,baseline,optimal_euclidean_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
2700,hand_selected_016,4206-62b960fa-1cfe-4205-a116-93fde04873fd,5,repetition 2,post,3.569256122011846,repetition 2 to post,no,1.5234737710854511,0.7555555555555555,0.7142857142857143,repeated
2701,hand_selected_016,4267-2829fdfa-d67b-4977-9729-2003f3ba3dc9,0,pre,repetition 1,2.4188889262279587,pre to repetition 1,no,1.9287278139085817,0.9361702127659576,0.9523809523809524,repeated
2702,hand_selected_016,4267-2829fdfa-d67b-4977-9729-2003f3ba3dc9,1,pre,repetition 2,3.5263446794442372,pre to repetition 2,no,2.5605335835662832,0.9361702127659576,0.9347826086956522,repeated
2703,hand_selected_016,4267-2829fdfa-d67b-4977-9729-2003f3ba3dc9,2,pre,post,2.61826690799171,pre to post,no,0.9988008118885395,0.9361702127659576,1.0,repeated
2704,hand_selected_016,4267-2829fdfa-d67b-4977-9729-2003f3ba3dc9,3,repetition 1,repetition 2,2.5314990608405488,repetition 1 to repetition 2,no,0.8246211251235321,0.9523809523809524,0.9347826086956522,repeated
2705,hand_selected_016,4267-2829fdfa-d67b-4977-9729-2003f3ba3dc9,4,repetition 1,post,2.319494485021139,repetition 1 to post,no,1.8026614182426481,0.9523809523809524,1.0,repeated
2706,hand_selected_016,4267-2829fdfa-d67b-4977-9729-2003f3ba3dc9,5,repetition 2,post,2.765746208627415,repetition 2 to post,no,2.1842376529478624,0.9347826086956522,1.0,repeated
2707,hand_selected_016,4322-172d9b82-466f-4105-bde1-19c52d22e0c2,0,pre,repetition 1,2.1985897870485345,pre to repetition 1,no,1.4234928884292375,0.7250000000000001,0.5625000000000001,repeated
2708,hand_selected_016,4322-172d9b82-466f-4105-bde1-19c52d22e0c2,1,pre,repetition 2,4.255047000419862,pre to repetition 2,no,2.7097575725537646,0.7250000000000001,0.8333333333333334,repeated
2709,hand_selected_016,4322-172d9b82-466f-4105-bde1-19c52d22e0c2,2,pre,post,3.1697249374750376,pre to post,no,2.0166341625894884,0.7250000000000001,0.9347826086956522,repeated
2710,hand_selected_016,4322-172d9b82-466f-4105-bde1-19c52d22e0c2,3,repetition 1,repetition 2,4.118672988711412,repetition 1 to repetition 2,no,3.0443866219259,0.5625000000000001,0.8333333333333334,repeated
2711,hand_selected_016,4322-172d9b82-466f-4105-bde1-19c52d22e0c2,4,repetition 1,post,1.8548997248418895,repetition 1 to post,no,1.8548997248418895,0.5625000000000001,0.9347826086956522,repeated
2712,hand_selected_016,4322-172d9b82-466f-4105-bde1-19c52d22e0c2,5,repetition 2,post,4.003283481348053,repetition 2 to post,no,2.166450198558811,0.8333333333333334,0.9347826086956522,repeated
2713,hand_selected_016,4377-8cc5e14c-b1be-4205-9304-88e5a75fe074,0,pre,repetition 1,5.44328040163219,pre to repetition 1,no,2.01468383389548,0.9,0.8717948717948718,repeated
2714,hand_selected_016,4377-8cc5e14c-b1be-4205-9304-88e5a75fe074,1,pre,repetition 2,1.6479869594526522,pre to repetition 2,no,1.6214733441496356,0.9,0.2592592592592592,repeated
2715,hand_selected_016,4377-8cc5e14c-b1be-4205-9304-88e5a75fe074,2,pre,post,2.1579235461440196,pre to post,no,2.0668737120746794,0.9,0.9767441860465116,repeated
2716,hand_selected_016,4377-8cc5e14c-b1be-4205-9304-88e5a75fe074,3,repetition 1,repetition 2,6.377409839483742,repetition 1 to repetition 2,no,6.318903049085006,0.8717948717948718,0.2592592592592592,repeated
2717,hand_selected_016,4377-8cc5e14c-b1be-4205-9304-88e5a75fe074,4,repetition 1,post,4.667412132764562,repetition 1 to post,no,0.7702200572599404,0.8717948717948718,0.9767441860465116,repeated
2718,hand_selected_016,4377-8cc5e14c-b1be-4205-9304-88e5a75fe074,5,repetition 2,post,2.1490547446228763,repetition 2 to post,no,2.1425260721977564,0.2592592592592592,0.9767441860465116,repeated
2719,hand_selected_016,4452-eae81be5-9537-4c6e-900f-5243f6eebe7e,0,pre,repetition 1,4.733892428250063,pre to repetition 1,no,3.239979409514987,0.6666666666666667,0.711111111111111,repeated
2720,hand_selected_016,4452-eae81be5-9537-4c6e-900f-5243f6eebe7e,1,pre,repetition 2,4.018753687716189,pre to repetition 2,no,2.372677996249965,0.6666666666666667,0.5789473684210527,repeated
2721,hand_selected_016,4452-eae81be5-9537-4c6e-900f-5243f6eebe7e,2,pre,post,4.749530217535289,pre to post,no,3.133819088751446,0.6666666666666667,0.3421052631578948,repeated
2722,hand_selected_016,4452-eae81be5-9537-4c6e-900f-5243f6eebe7e,3,repetition 1,repetition 2,2.76160089889676,repetition 1 to repetition 2,no,1.7364228326948654,0.711111111111111,0.5789473684210527,repeated
2723,hand_selected_016,4452-eae81be5-9537-4c6e-900f-5243f6eebe7e,4,repetition 1,post,2.5333593604084523,repetition 1 to post,no,1.923381299322725,0.711111111111111,0.3421052631578948,repeated
2724,hand_selected_016,4452-eae81be5-9537-4c6e-900f-5243f6eebe7e,5,repetition 2,post,1.639625595002411,repetition 2 to post,no,1.1733864369238962,0.5789473684210527,0.3421052631578948,repeated
2725,hand_selected_016,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,0,pre,repetition 1,4.501831517318288,pre to repetition 1,no,1.225657346466566,0.5625000000000001,1.0,repeated
2726,hand_selected_016,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,1,pre,repetition 2,1.3149616166575202,pre to repetition 2,no,1.225657346466566,0.5625000000000001,1.0,repeated
