,gameID,trialNum,phase,condition,eventType,score,normedScore,numBlocks,timeAbsolute,timeRelative,currBonus,exploreResets,allVertices,nPracticeAttempts,exploreStartTime,targetName,finalExploreBlocks,preResetExploreBlocks,totalExploreBlocks,numAttempts
31,0557-d10fc037-8516-4352-8b27-6e3c82eeeace,15,explore,mental,explore_end,0.5900000000000001,0,0,1575562259616.0,2236517.284999951,0,0,[],,1575562229613.0,hand_selected_004,0,[],0.0,1
32,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,0,explore,physical,explore_end,0.0,0,1,1575561719680.0,319508.22499999776,0,0,"[[{'x': 378.98632812500006, 'y': 482.47857142857384}, {'x': 488.98632812500006, 'y': 482.47857142857384}, {'x': 488.98632812500006, 'y': 702.478571428572}, {'x': 378.98632812500006, 'y': 702.478571428572}]]",,1575561689675.0,hand_selected_014,1,[],1.0,1
33,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,1,explore,mental,explore_end,0.03,0,0,1575561817364.0,417192.71499995375,0,0,[],,1575561787358.0,hand_selected_010,0,[],0.0,1
34,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,2,explore,mental,explore_end,0.03,0,0,1575561912484.0,512313.209999993,0,0,[],,1575561882478.0,hand_selected_005,0,[],0.0,1
35,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,3,explore,physical,explore_end,0.03,0,0,1575562050931.0,650759.534999961,0,0,[],,1575562020292.0,hand_selected_001,0,[],0.0,1
36,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,4,explore,physical,explore_end,0.03,0,0,1575562145931.0,745759.46999999,0,0,[],,1575562115667.0,hand_selected_012,0,[],0.0,1
37,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,5,explore,mental,explore_end,0.03,0,0,1575562240948.0,840777.9599999776,0,0,[],,1575562210380.0,hand_selected_002,0,[],0.0,1
38,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,6,explore,mental,explore_end,0.03,0,0,1575562336538.0,936366.6949999752,0,0,[],,1575562306521.0,hand_selected_013,0,[],0.0,1
39,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,7,explore,physical,explore_end,0.03,0,0,1575562437450.0,1037278.6900000065,0,0,[],,1575562407447.0,hand_selected_003,0,[],0.0,1
40,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,8,explore,physical,explore_end,0.03,0,0,1575562534200.0,1134032.18499996,0,0,[],,1575562504190.0,hand_selected_011,0,[],0.0,1
41,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,9,explore,mental,explore_end,0.03,0,0,1575562641947.0,1241775.949999981,0,0,[],,1575562611019.0,hand_selected_006,0,[],0.0,1
42,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,10,explore,mental,explore_end,0.03,0,0,1575562736655.0,1336483.1300000078,0,0,[],,1575562706649.0,hand_selected_004,0,[],0.0,1
43,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,11,explore,physical,explore_end,0.03,0,0,1575562830395.0,1430224.2850000039,0,0,[],,1575562800385.0,hand_selected_008,0,[],0.0,1
44,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,12,explore,physical,explore_end,0.03,0,0,1575562924293.0,1524121.599999955,0,0,[],,1575562894281.0,hand_selected_007,0,[],0.0,1
45,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,13,explore,mental,explore_end,0.03,0,0,1575563018606.0,1618435.2749999962,0,0,[],,1575562988601.0,hand_selected_009,0,[],0.0,1
46,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,14,explore,mental,explore_end,0.03,0,0,1575563113000.0,1712829.0749999578,0,0,[],,1575563082989.0,hand_selected_015,0,[],0.0,1
47,1411-eec172b2-1ad8-471c-91f4-b9bba653d662,15,explore,physical,explore_end,0.08,0,0,1575563207344.0,1807172.740000009,0,0,[],,1575563177336.0,hand_selected_016,0,[],0.0,1
48,1462-9ab97291-82f4-4de0-abe3-4db0750b8337,0,explore,physical,explore_end,0.0,0,1,1575563202652.0,507984.3249999976,0,0,"[[{'x': 262.25000000000006, 'y': 592.478571428572}, {'x': 372.25000000000006, 'y': 592.478571428572}, {'x': 372.25000000000006, 'y': 702.478571428572}, {'x': 262.25000000000006, 'y': 702.478571428572}]]",,1575563172649.0,hand_selected_004,1,[],1.0,1
49,1462-9ab97291-82f4-4de0-abe3-4db0750b8337,1,explore,mental,explore_end,0.0,0,0,1575563308152.0,613484.6649999963,0,0,[],,1575563278142.0,hand_selected_003,0,[],0.0,1
50,1462-9ab97291-82f4-4de0-abe3-4db0750b8337,2,explore,mental,explore_end,0.0,0,0,1575563404435.0,709766.9950000127,0,0,[],,1575563374429.0,hand_selected_009,0,[],0.0,1
51,1462-9ab97291-82f4-4de0-abe3-4db0750b8337,3,explore,physical,explore_end,0.0,0,0,1575563503534.0,808866.1300000094,0,0,[],,1575563473532.0,hand_selected_006,0,[],0.0,1
52,1462-9ab97291-82f4-4de0-abe3-4db0750b8337,4,explore,physical,explore_end,0.0,0,0,1575563615064.0,920396.3600000134,0,0,[],,1575563585059.0,hand_selected_002,0,[],0.0,1
53,1462-9ab97291-82f4-4de0-abe3-4db0750b8337,5,explore,mental,explore_end,0.0,0,0,1575563714314.0,1019646.1600000039,0,0,[],,1575563684313.0,hand_selected_011,0,[],0.0,1
