,targetName,phase,gini,nlevel
109,hand_selected_011,post,0.3268529161877155,5.0
110,hand_selected_011,pre,0.11648745519713262,6.0
111,hand_selected_011,post,0.2745313549490139,6.0
112,hand_selected_011,pre,0.09151193633952255,7.0
113,hand_selected_011,post,0.2249899558055444,7.0
114,hand_selected_011,pre,0.0818181818181818,8.0
115,hand_selected_011,post,0.17629647170258111,8.0
116,hand_selected_011,pre,0.06190476190476191,9.0
117,hand_selected_011,post,0.12895833333333334,9.0
118,hand_selected_011,pre,0.0,10.0
119,hand_selected_011,post,0.07718951014349332,10.0
120,hand_selected_012,pre,0.5027999701336519,1.0
121,hand_selected_012,post,0.5432282003710576,1.0
122,hand_selected_012,pre,0.46264875692235186,2.0
123,hand_selected_012,post,0.49594188933773115,2.0
124,hand_selected_012,pre,0.416815210932858,3.0
125,hand_selected_012,post,0.43968079067748506,3.0
126,hand_selected_012,pre,0.37522780525904714,4.0
127,hand_selected_012,post,0.3715083798882682,4.0
128,hand_selected_012,pre,0.33478559963311166,5.0
129,hand_selected_012,post,0.3240807759119861,5.0
130,hand_selected_012,pre,0.302058628213642,6.0
131,hand_selected_012,post,0.280026455026455,6.0
132,hand_selected_012,pre,0.27317504420308153,7.0
133,hand_selected_012,post,0.2389944197057663,7.0
134,hand_selected_012,pre,0.23473419540229884,8.0
135,hand_selected_012,post,0.18626763307614372,8.0
136,hand_selected_012,pre,0.1983352468427095,9.0
137,hand_selected_012,post,0.10779734099892202,9.0
138,hand_selected_012,pre,0.17301231802911535,10.0
139,hand_selected_012,post,0.06847640009782342,10.0
140,hand_selected_016,pre,0.36426799007444166,1.0
141,hand_selected_016,post,0.5208966565349544,1.0
142,hand_selected_016,pre,0.28126431516262024,2.0
143,hand_selected_016,post,0.48663074927666367,2.0
144,hand_selected_016,pre,0.20125786163522014,3.0
145,hand_selected_016,post,0.4387078438802577,3.0
146,hand_selected_016,pre,0.12925531914893618,4.0
147,hand_selected_016,post,0.38042258332113404,4.0
148,hand_selected_016,pre,0.08701384311140409,5.0
149,hand_selected_016,post,0.32407016060862215,5.0
150,hand_selected_016,pre,0.07767857142857143,6.0
151,hand_selected_016,post,0.27790489147238884,6.0
152,hand_selected_016,pre,0.06385696040868453,7.0
153,hand_selected_016,post,0.22356215213358072,7.0
154,hand_selected_016,pre,0.041501976284584984,8.0
155,hand_selected_016,post,0.17594001304064333,8.0
156,hand_selected_016,pre,0.0,9.0
157,hand_selected_016,post,0.11043360433604336,9.0
158,hand_selected_016,pre,0.0,10.0
