trialNum,rawF1DiscreteScore,repetition,gameID,targetName,condition,phase,buildTime,bis
14,1.5240898684061508,2,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_005,repeated,repeated,0.2881092918326103,1.2359805765735405
15,0.8544726043513852,2,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_011,repeated,repeated,1.112648047475112,-0.25817544312372676
16,1.3776110918941713,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_008,control,post,0.06062087133593945,1.3169902205582318
17,-0.1685537712878398,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_009,repeated,post,0.9139159855143156,-1.0824697568021555
18,0.5815307847638451,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_016,control,post,1.015559747863892,-0.4340289631000469
19,-0.045720415722238186,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_005,repeated,post,0.9805396280627774,-1.0262600437850156
20,1.7844965822052279,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_011,repeated,post,1.2806307359520028,0.5038658462532251
21,0.3522596563103104,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_004,control,post,-0.34025984963942046,0.6925195059497309
22,0.6452172093342705,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_012,control,post,-1.3959883392535075,2.041205548587778
23,0.5120546852324706,3,0622-493f8d2b-4aa3-4b1c-ad92-f6014b9fc709,hand_selected_006,repeated,post,-1.0753976490416786,1.5874523342741491
0,0.5346861383728119,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_005,control,pre,0.8551420311323459,-0.320455892759534
1,-2.6620158738813493,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_012,control,pre,0.1490506917789963,-2.8110665656603455
2,0.00416386044777829,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_011,repeated,pre,0.8494436913416946,-0.8452798308939163
3,0.9637171979121857,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_004,repeated,pre,-0.026759850585509695,0.9904770484976954
4,0.4434029342154973,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_006,repeated,pre,0.13421824850038927,0.30918468571510804
5,0.9054537206907893,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_009,repeated,pre,0.7748624793758174,0.1305912413149719
6,-0.15388222878914695,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_008,control,pre,-0.6250855286038952,0.4712032998147483
7,0.624067609110182,0,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_016,control,pre,0.8561476205071668,-0.23208001139698475
8,0.5082027396358122,1,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_004,repeated,repeated,0.6272922386208627,-0.1190894989850505
9,-0.14519914723603278,1,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_009,repeated,repeated,0.8839689265438759,-1.0291680737799087
10,1.2637585271325333,1,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_006,repeated,repeated,-0.209106723886351,1.4728652510188844
11,0.5346861383728126,1,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_011,repeated,repeated,0.8336056586882667,-0.2989195203154541
12,-1.8207785022355178,2,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_006,repeated,repeated,-2.829169839981987,1.008391337746469
13,0.6086570107071877,2,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_011,repeated,repeated,-0.14793337025141803,0.7565903809586058
14,-0.46638633388572887,2,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_009,repeated,repeated,0.012625733261638931,-0.47901206714736777
15,1.2902125325302003,2,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_004,repeated,repeated,0.17595020755545313,1.1142623249747472
16,0.6406197333208049,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_009,repeated,post,0.29469355289887783,0.3459261804219271
17,0.8431398413096166,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_004,repeated,post,0.34363223580682417,0.49950760550279244
18,-0.7979103344388803,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_011,repeated,post,-1.1314835779407444,0.3335732435018641
19,-0.7313071520712433,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_016,control,post,0.7996670172880642,-1.5309741693593075
20,-1.707097776337431,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_008,control,post,-2.7825775322819557,1.0754797559445246
21,-0.056008798674153974,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_006,repeated,post,-0.3746099751589436,0.31860117648478964
22,-1.0650906938079057,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_012,control,post,0.8425721639470858,-1.9076628577549914
23,0.44090885759917775,3,0652-88ebf36e-0780-4434-a9c7-969af27c2636,hand_selected_005,control,post,-0.3061460985565597,0.7470549561557375
0,0.15133018113663596,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_012,control,pre,0.5847838472076381,-0.4334536660710021
1,-0.6625342182866087,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_004,repeated,pre,-0.37485806100902597,-0.2876761572775828
2,-1.7046776565724697,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_006,repeated,pre,0.7099287437674132,-2.414606400339883
3,-0.437650634235448,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_016,control,pre,0.7603425646564221,-1.1979931988918702
4,-1.5338478694338462,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_011,control,pre,0.7826828068542967,-2.316530676288143
5,0.1920234011077989,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_009,repeated,pre,-0.0019934876887481526,0.19401688879654705
6,1.0465810205022044,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_005,repeated,pre,-0.6551984454035933,1.7017794659057977
7,0.8547415549238692,0,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_008,control,pre,0.23168939972618735,0.6230521551976818
8,1.0465810205022044,1,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_004,repeated,repeated,0.16664568571644642,0.8799353347857579
9,1.0465810205022044,1,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_009,repeated,repeated,0.24246411830834808,0.8041169021938563
10,1.0465810205022044,1,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_005,repeated,repeated,-0.5952949641119474,1.6418759846141517
11,-2.21468989432951,1,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_006,repeated,repeated,-0.6808007583648743,-1.5338891359646356
12,0.6549087782797686,2,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_009,repeated,repeated,0.7484804891531259,-0.09357171087335736
13,0.1474377861828715,2,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_004,repeated,repeated,0.816489722038691,-0.6690519358558195
